Unique_ID,BANK_TYPE,COMPARISON_TYPE,BANK_NAME_ABBR,SNL_INSTITUTE_ID,YEAR_QUARTER,REG_COMPANY_NAME,REG_SNL_INSTN_KEY,REG_STATE,REG_LLR_TO_GROSS_LOAN,REG_RESV_TO_NPA,HIGH_RISK_RE_LOAN_TO_DOM_LOAN,REG_NCO_TO_AVG_LOAN,REG_LLP_TO_NCO,RESV_TO_ADJ_NPL,PD_NACCR_RESTRUCT_FRCLSD_TO_LOAN_FRCLSD,TOTAL_NCL_TO_LOAN,TOTAL_NCL_TO_ASSETS,TOTAL_NONCURRENT_ASSETS_TO_ASSETS,REG_LLR_TO_GROSS_LOAN,NCO_TO_AVG_LOAN_CU,NET_CREDIT_CARD_CHRG_OFF_TO_AVG_CREDIT_CARD_LOAN,OREO_TO_ASSETS_AQ,REG_EQUITY_RESV_TO_ASSETS,REG_NPL_TO_LOAN,NPA_TO_LOAN,LOAN_LEASES_HFS,TOTAL_LOAN_LEASES_EXCL_HFS,TOTAL_RESV,REG_TOTAL_ASSETS,TOTAL_DEP_INCL_DOM_FRGN,TOTAL_LOAN_LEASES_CHRG_OFF,LLR_LOAN_LOSS_RES_BEGIN_PERIOD,LLR_CHANGES_MERGERS,LLR_OTHER_ADJ,LLR_BAL_AT_END_PREV_YR,TOTAL_LOAN_LEASES_RECOV,LLR_TOTAL_CHRG_OFF_BHC,PROV_FOR_LOAN_LEASE_LOSS,LN_AND_LS_HFI_AMORT_COST_RE_CONST_LOAN,LN_AND_LS_HFI_AMORT_COST_COM_RE_LOAN,LN_AND_LS_HFI_AMORT_COST_RES_RE_LOAN,LN_AND_LS_HFI_AMORT_COST_COM_LOAN,LN_AND_LS_HFI_AMORT_COST_CREDIT_CARD,LN_AND_LS_HFI_AMORT_COST_OTHER_CONSUMER_LOAN,LN_AND_LS_HFI_AMORT_COST_TOTAL,LN_AND_LS_HFI_ALLOWANCE_RE_CONST_LOAN,LN_AND_LS_HFI_ALLOWANCE_COM_RE_LOAN,LN_AND_LS_HFI_ALLOWANCE_RES_RE_LOAN,LN_AND_LS_HFI_ALLOWANCE_COM_LOAN,LN_AND_LS_HFI_ALLOWANCE_CREDIT_CARD,LN_AND_LS_HFI_ALLOWANCE_OTHER_CONSUMER_LOAN,LN_AND_LS_HFI_ALLOWANCE_UNALLOCATED,LN_AND_LS_HFI_ALLOWANCE_TOTAL,latitude,longitude
100253-1997Q3,Peer,Close-Peer,M&T BANK,MTB,1997Q3,M&T Bank Corporation,100253,NY,,443.87,,0.42,103.23,,,,,,,,,,,,,170550,11100598,272308,13675133,11204964,14449,271933,0,0,271933,2824,14449,12000,,,,,,,,,,,,,,,,43.299428,-74.217933
103042-1997Q3,Non-Peer,Non-Peer,Morgan Stanley,103042,1997Q3,Morgan Stanley,103042,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.299428,-74.217933
100406-1997Q3,Peer,Peer,PNC,PNC,1997Q3,"The PNC Financial Services Group, Inc.",100406,PA,,254.03,,0.53,27.58,,,,,,,,,,,,,1398063,53669134,1026888,71729206,44798289,94314,1074943,0,4465,1079408,21794,94314,20000,,,,,,,,,,,,,,,,41.203322,-77.194525
100233-1997Q3,Peer,Close-Peer,REGIONS,RF,1997Q3,Regions Financial Corporation,100233,AL,,181.21,,0.3,104.9,,,,,,,,,,,,,263377,15866657,196118,22550653,17800347,17456,195941,-397,0,195544,5747,17456,12283,,,,,,,,,,,,,,,,32.318231,-86.902298
100447-1997Q3,Non-Peer,Non-Peer,State Street,100447,1997Q3,State Street Corporation,100447,MA,,NM,,-0.03,NM,,,,,,,,,,,,,0,5588331,79416,36091955,22111423,1339,74031,0,0,74031,1772,1339,5001,,,,,,,,,,,,,,,,42.407211,-71.382437
4047176-1997Q3,Peer,Peer,USB,USB,1997Q3,U.S. Bancorp,4047176,MN,,301.78,,1.95,112.33,,,,,,,,,,,,,818000,53325000,1020000,70174000,48374000,311100,508000,479500,200,987700,49100,311100,294300,,,,,,,,,,,,,,,,46.729553,-94.6859
100382-1997Q3,Mega-Bank,Mega-Bank,Wells Fargo,100382,1997Q3,Wells Fargo & Company,100382,CA,,520.85,,0.99,116.89,,,,,,,,,,,,,10658700,41706100,1196400,85252200,52532900,159200,1071100,104100,0,1175200,33700,159200,146700,,,,,,,,,,,,,,,,36.778261,-119.417932
100501-1997Q3,Non-Peer,Peer,Zions,100501,1997Q3,"Zions Bancorporation, National Association",100501,UT,1.71,423.78,31.74,0.45,,654.85,,0.52,0.22,0.22,1.71,,,0.04,6.49,0.31,0.4,176747,2566686,46874,6512828,3503206,3710,,,,,939,,0,,,,,,,,,,,,,,,,39.32098,-111.093731
100369-1997Q3,Mega-Bank,Mega-Bank,Bank of America,100369,1997Q3,Bank of America Corporation,100369,NC,,201.68,,0.53,95.38,,,,,,,,,,,,,2654187,139582373,2782977,242436684,130446520,283576,2789568,467333,-464741,2792160,84376,283576,190000,,,,,,,,,,,,,,,,35.759573,-79.0193
100438-1997Q4,Peer,Peer,BB&T / Truist Financial Corporation,TFC,1997Q4,Truist Financial Corporation,100438,NC,1.3,227.13,30.28,0.55,81.93,278.06,0.8,0.67,0.46,0.46,1.3,,,0.07,8.57,0.47,0.57,483557,19806398,263943,29177600,20210116,30281,257439,11357,0,268796,3429,30281,21999,,,,,,,,,,,,,,,,35.759573,-79.0193
100144-1997Q4,Non-Peer,Non-Peer,BNY Mellon,100144,1997Q4,The Bank of New York Mellon Corporation,100144,NY,1.82,307.23,11.28,0.51,225.46,345.03,0.8,0.75,0.44,0.45,1.82,,,0.03,9.41,0.53,0.59,0,35126596,640571,59960695,41356455,49578,770099,0,-185124,584975,5224,49578,100000,,,,,,,,,,,,,,,,43.299428,-74.217933
103239-1997Q4,Non-Peer,Non-Peer,Capital One,103239,1997Q4,Capital One Financial Corporation,103239,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.431573,-78.656894
4041896-1997Q4,Mega-Bank,Mega-Bank,Citigroup,4041896,1997Q4,Citigroup Inc.,4041896,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.299428,-74.217933
1019881-1997Q4,Peer,Peer,CITIZENS,1019881,1997Q4,"Citizens Financial Group, Inc.",1019881,RI,2.06,219.73,23.61,0.11,245.38,244.57,0.95,0.82,0.46,0.46,2.06,,,0.04,10.76,0.86,0.94,65758,9457153,196070,16812169,13596755,8684,192309,0,0,192309,6097,8684,6348,,,,,,,,,,,,,,,,41.580095,-71.477429
100206-1997Q4,Peer,Peer,COMERICA,100206,1997Q4,Comerica Incorporated,100206,TX,1.47,409.91,17.92,0.36,145.47,521.83,0.49,0.45,0.36,0.36,1.47,,,0.02,8.74,0.28,0.36,40766,28881405,424147,36453281,22586317,37678,412582,0,0,412582,12243,37678,37000,,,,,,,,,,,,,,,,31.968599,-99.901813
100260-1997Q4,Peer,Close-Peer,FIFTH THIRD,FITB,1997Q4,Fifth Third Bancorp,100260,OH,1.5,482.82,11.81,0.54,140.33,524.98,0.64,0.62,0.39,0.39,1.5,,,0.01,11.59,0.28,0.31,62121,13376596,200931,21375054,14914132,23796,194773,0,-1000,193773,6049,23796,24905,,,,,,,,,,,,,,,,40.417287,-82.907123
4039450-1997Q4,Non-Peer,Non-Peer,Goldman Sachs,4039450,1997Q4,"The Goldman Sachs Group, Inc.",4039450,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.299428,-74.217933
100307-1997Q4,Peer,Close-Peer,Huntington,100307,1997Q4,Huntington Bancshares Incorporated,100307,OH,1.44,274.27,20.89,0.61,95.24,366.51,0.79,0.67,0.45,0.45,1.44,,,0.06,8.54,0.4,0.53,192948,17731264,258171,26730540,17983718,33344,257883,1600,0,259483,5797,33344,26235,,,,,,,,,,,,,,,,40.417287,-82.907123
100201-1997Q4,Mega-Bank,Mega-Bank,JP Morgan Chase,100201,1997Q4,JPMorgan Chase & Co.,100201,NY,2.15,165.18,4,0.48,100.49,178.87,1.55,0.87,0.4,0.4,2.15,,,0.02,6.94,1.22,1.3,7724000,160730000,3624000,365521000,193688000,287000,3694000,0,174000,3868000,83000,287000,205000,,,,,,,,,,,,,,,,43.299428,-74.217933
100334-1997Q4,Peer,Close-Peer,KEY,KEY,1997Q4,KeyCorp,100334,OH,1.68,182.43,17.84,0.58,100.12,209.63,1.19,1.03,0.74,0.75,1.68,,,0.06,8.26,0.83,0.92,2830560,50628639,899740,73624498,45086915,96035,899519,-13724,13855,899650,19316,96035,76809,,,,,,,,,,,,,,,,40.417287,-82.907123
100253-1997Q4,Peer,Close-Peer,M&T BANK,MTB,1997Q4,M&T Bank Corporation,100253,NY,2.39,511.06,37.05,0.34,124.33,649.23,0.73,0.6,0.49,0.49,2.39,,,0.06,9.32,0.39,0.47,189017,11307551,274656,14002935,11163158,14997,272308,0,0,272308,5345,14997,12000,,,,,,,,,,,,,,,,43.299428,-74.217933
103042-1997Q4,Non-Peer,Non-Peer,Morgan Stanley,103042,1997Q4,Morgan Stanley,103042,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.299428,-74.217933
100406-1997Q4,Peer,Peer,PNC,PNC,1997Q4,"The PNC Financial Services Group, Inc.",100406,PA,1.72,277.69,9.15,0.58,31.12,353.76,1.09,1,0.75,0.75,1.72,,,0.07,8.46,0.49,0.62,2324102,54258830,971567,75100908,47660259,105178,1026888,0,1,1026889,24856,105178,25000,,,,,,,,,,,,,,,,41.203322,-77.194525
100233-1997Q4,Peer,Close-Peer,REGIONS,RF,1997Q4,Regions Financial Corporation,100233,AL,1.16,162.24,24.65,0.35,83.46,182.03,0.82,0.73,0.53,0.53,1.16,,,0.05,9.03,0.64,0.71,427110,16387449,194306,23340037,17965690,22432,196118,559,0,196677,8101,22432,11960,,,,,,,,,,,,,,,,32.318231,-86.902298
100447-1997Q4,Non-Peer,Non-Peer,State Street,100447,1997Q4,State Street Corporation,100447,MA,1.32,NM,1.71,0.08,409.08,NM,0.1,0.04,0.01,0.01,1.32,,,0.01,5.47,0.03,0.09,0,6260847,82820,37975147,24877962,1477,79416,0,0,79416,255,1477,4999,,,,,,,,,,,,,,,,42.407211,-71.382437
4047176-1997Q4,Peer,Peer,USB,USB,1997Q4,U.S. Bancorp,4047176,MN,1.84,297.64,19,0.76,87.12,347.93,0.77,0.71,0.55,0.55,1.84,,,0.04,9.68,0.54,0.62,879000,53829000,1009000,71295000,49027000,136500,1020000,2100,200,1022300,33200,136500,90000,,,,,,,,,,,,,,,,46.729553,-94.6859
100382-1997Q4,Mega-Bank,Mega-Bank,Wells Fargo,100382,1997Q4,Wells Fargo & Company,100382,CA,2.25,539.76,11.14,1.12,99.19,707.92,0.7,0.61,0.37,0.37,2.25,,,0.06,9.32,0.33,0.42,12255000,42521600,1233900,88540200,55457100,189600,1196400,38700,0,1235100,42200,189600,146200,,,,,,,,,,,,,,,,36.778261,-119.417932
100501-1997Q4,Non-Peer,Peer,Zions,100501,1997Q4,"Zions Bancorporation, National Association",100501,UT,1.64,486.8,32.96,0.2,,765.6,0.61,0.52,0.25,0.25,1.64,,,0.04,7.3,0.26,0.34,178534,2602452,45584,5854615,3665705,3313,,,,,2023,,0,,,,,,,,,,,,,,,,39.32098,-111.093731
100369-1997Q4,Mega-Bank,Mega-Bank,Bank of America,100369,1997Q4,Bank of America Corporation,100369,NC,1.9,218.53,13.29,0.65,99.74,260.44,1.03,0.91,0.5,0.5,1.9,,,0.04,9.12,0.74,0.87,2911062,143792080,2782458,264562336,138193723,312659,2782977,89,0,2783066,81852,312659,230199,,,,,,,,,,,,,,,,35.759573,-79.0193
100438-1998Q1,Peer,Peer,BB&T / Truist Financial Corporation,TFC,1998Q1,Truist Financial Corporation,100438,NC,,248.83,,0.28,146.8,,,,,,,,,,,,,913610,20718715,282418,31535710,20794808,20396,263943,11461,0,275404,5410,20396,22000,,,,,,,,,,,,,,,,35.759573,-79.0193
100144-1998Q1,Non-Peer,Non-Peer,BNY Mellon,100144,1998Q1,The Bank of New York Mellon Corporation,100144,NY,,321.24,,0.06,98.76,,,,,,,,,,,,,0,37034386,644939,59610993,40588596,9754,640571,4320,0,644891,4691,9754,5000,,,,,,,,,,,,,,,,43.299428,-74.217933
103239-1998Q1,Non-Peer,Non-Peer,Capital One,103239,1998Q1,Capital One Financial Corporation,103239,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.431573,-78.656894
4041896-1998Q1,Mega-Bank,Mega-Bank,Citigroup,4041896,1998Q1,Citigroup Inc.,4041896,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.299428,-74.217933
1019881-1998Q1,Peer,Peer,CITIZENS,1019881,1998Q1,"Citizens Financial Group, Inc.",1019881,RI,,243.22,,0.09,317.81,,,,,,,,,,,,,67019,9324110,200472,16790183,13553888,9314,196070,0,0,196070,7293,9314,6423,,,,,,,,,,,,,,,,41.580095,-71.477429
100206-1998Q1,Peer,Peer,COMERICA,100206,1998Q1,Comerica Incorporated,100206,TX,,458.72,,0.31,124.45,,,,,,,,,,,,,69420,29227308,429648,36634384,23193302,32838,424147,0,0,424147,10339,32838,28000,,,,,,,,,,,,,,,,31.968599,-99.901813
100260-1998Q1,Peer,Close-Peer,FIFTH THIRD,FITB,1998Q1,Fifth Third Bancorp,100260,OH,,441.89,,0.53,109.82,,,,,,,,,,,,,248933,13548596,202703,22856499,14731989,23441,200931,0,0,200931,5388,23441,19825,,,,,,,,,,,,,,,,40.417287,-82.907123
4039450-1998Q1,Non-Peer,Non-Peer,Goldman Sachs,4039450,1998Q1,"The Goldman Sachs Group, Inc.",4039450,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.299428,-74.217933
100307-1998Q1,Peer,Close-Peer,Huntington,100307,1998Q1,Huntington Bancshares Incorporated,100307,OH,,249.36,,0.49,100.41,,,,,,,,,,,,,314034,17739886,258262,26808479,17700544,27566,258171,0,0,258171,5476,27566,22181,,,,,,,,,,,,,,,,40.417287,-82.907123
100201-1998Q1,Mega-Bank,Mega-Bank,JP Morgan Chase,100201,1998Q1,JPMorgan Chase & Co.,100201,NY,,150.98,,0.78,103.61,,,,,,,,,,,,,10445000,157499000,3622000,365715000,196096000,407000,3869000,0,-2000,3867000,75000,419000,344000,,,,,,,,,,,,,,,,43.299428,-74.217933
100334-1998Q1,Peer,Close-Peer,KEY,KEY,1998Q1,KeyCorp,100334,OH,,186.43,,0.57,100.01,,,,,,,,,,,,,3312366,51666942,899746,73269040,41692189,100140,899740,0,-3,899737,23117,100140,77031,,,,,,,,,,,,,,,,40.417287,-82.907123
100253-1998Q1,Peer,Close-Peer,M&T BANK,MTB,1998Q1,M&T Bank Corporation,100253,NY,,494.26,,0.27,151.34,,,,,,,,,,,,,309439,11723983,278727,14570290,11084835,12286,274656,0,0,274656,4357,12286,12000,,,,,,,,,,,,,,,,43.299428,-74.217933
103042-1998Q1,Non-Peer,Non-Peer,Morgan Stanley,103042,1998Q1,Morgan Stanley,103042,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.299428,-74.217933
100406-1998Q1,Peer,Peer,PNC,PNC,1998Q1,"The PNC Financial Services Group, Inc.",100406,PA,,260.86,,0.64,33.42,,,,,,,,,,,,,2399374,54526292,911808,72480347,46076594,107181,971567,0,0,971567,17422,107181,30000,,,,,,,,,,,,,,,,41.203322,-77.194525
100233-1998Q1,Peer,Close-Peer,REGIONS,RF,1998Q1,Regions Financial Corporation,100233,AL,,151.95,,0.18,163.74,,,,,,,,,,,,,408118,18156075,221998,25806975,20314107,14667,194306,22455,0,216761,6451,14667,13453,,,,,,,,,,,,,,,,32.318231,-86.902298
100447-1998Q1,Non-Peer,Non-Peer,State Street,100447,1998Q1,State Street Corporation,100447,MA,,NM,,-0.06,-502.61,,,,,,,,,,,,,0,6403996,88820,39009813,23593260,24,82820,0,0,82820,1019,28,5001,,,,,,,,,,,,,,,,42.407211,-71.382437
4047176-1998Q1,Peer,Peer,USB,USB,1998Q1,U.S. Bancorp,4047176,MN,,301.82,,0.76,87.21,,,,,,,,,,,,,999000,53970000,996000,70949000,48558000,141200,1009000,0,200,1009200,38000,141200,90000,,,,,,,,,,,,,,,,46.729553,-94.6859
100382-1998Q1,Mega-Bank,Mega-Bank,Wells Fargo,100382,1998Q1,Wells Fargo & Company,100382,CA,,476.05,,0.96,94.75,,,,,,,,,,,,,15466800,42130500,1236300,96093700,57832500,173500,1233900,9300,0,1243200,42100,173500,124500,,,,,,,,,,,,,,,,36.778261,-119.417932
100501-1998Q1,Non-Peer,Peer,Zions,100501,1998Q1,"Zions Bancorporation, National Association",100501,UT,1.58,578.15,32.26,0.17,,898.77,,0.47,0.23,0.23,1.58,,,0.02,7.16,0.24,0.27,249398,2662790,45882,5887491,3754113,2146,,,,,944,,1500,,,,,,,,,,,,,,,,39.32098,-111.093731
100369-1998Q1,Mega-Bank,Mega-Bank,Bank of America,100369,1998Q1,Bank of America Corporation,100369,NC,,187.69,,0.62,95.25,,,,,,,,,,,,,4180505,179485521,3245313,314502729,170046052,352881,2782458,494951,-18873,3258536,74661,352881,265000,,,,,,,,,,,,,,,,35.759573,-79.0193
100438-1998Q2,Peer,Peer,BB&T / Truist Financial Corporation,TFC,1998Q2,Truist Financial Corporation,100438,NC,,294.33,,0.28,136.57,,,,,,,,,,,,,957749,21062211,289310,31543275,21129790,20381,282418,1269,0,283687,5004,20381,21000,,,,,,,,,,,,,,,,35.759573,-79.0193
100144-1998Q2,Non-Peer,Non-Peer,BNY Mellon,100144,1998Q2,The Bank of New York Mellon Corporation,100144,NY,,323.55,,0.04,126.49,,,,,,,,,,,,,0,39048561,645938,63003075,43407835,8990,644939,0,0,644939,5037,8990,5000,,,,,,,,,,,,,,,,43.299428,-74.217933
103239-1998Q2,Non-Peer,Non-Peer,Capital One,103239,1998Q2,Capital One Financial Corporation,103239,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.431573,-78.656894
4041896-1998Q2,Mega-Bank,Mega-Bank,Citigroup,4041896,1998Q2,Citigroup Inc.,4041896,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.299428,-74.217933
1019881-1998Q2,Peer,Peer,CITIZENS,1019881,1998Q2,"Citizens Financial Group, Inc.",1019881,RI,,360.72,,0.27,70.77,,,,,,,,,,,,,76748,9572001,198633,17112706,13644683,10776,200472,0,0,200472,4485,10776,4452,,,,,,,,,,,,,,,,41.580095,-71.477429
100206-1998Q2,Peer,Peer,COMERICA,100206,1998Q2,Comerica Incorporated,100206,TX,,457.64,,0.27,149.15,,,,,,,,,,,,,63232,28029120,438875,35196440,22650921,33792,429648,0,0,429648,15019,33792,28000,,,,,,,,,,,,,,,,31.968599,-99.901813
100260-1998Q2,Peer,Close-Peer,FIFTH THIRD,FITB,1998Q2,Fifth Third Bancorp,100260,OH,,304.61,,0.73,143.9,,,,,,,,,,,,,329870,17975114,270129,28292682,18792343,41188,202703,52850,0,255553,7987,41188,47777,,,,,,,,,,,,,,,,40.417287,-82.907123
4039450-1998Q2,Non-Peer,Non-Peer,Goldman Sachs,4039450,1998Q2,"The Goldman Sachs Group, Inc.",4039450,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.299428,-74.217933
100307-1998Q2,Peer,Close-Peer,Huntington,100307,1998Q2,Huntington Bancshares Incorporated,100307,OH,,263.46,,0.4,136.37,,,,,,,,,,,,,305741,19054607,286864,28187219,19666248,28855,258262,22042,0,280304,10820,28855,24595,,,,,,,,,,,,,,,,40.417287,-82.907123
100201-1998Q2,Mega-Bank,Mega-Bank,JP Morgan Chase,100201,1998Q2,JPMorgan Chase & Co.,100201,NY,,173.89,,0.78,103.05,,,,,,,,,,,,,8237000,160468000,3629000,366995000,207091000,427000,3867000,0,7000,3874000,99000,437000,338000,,,,,,,,,,,,,,,,43.299428,-74.217933
100334-1998Q2,Peer,Close-Peer,KEY,KEY,1998Q2,KeyCorp,100334,OH,,187.6,,0.51,100.06,,,,,,,,,,,,,3473534,54294771,900140,75677015,41831309,96571,899746,0,354,900100,25038,96571,71574,,,,,,,,,,,,,,,,40.417287,-82.907123
100253-1998Q2,Peer,Close-Peer,M&T BANK,MTB,1998Q2,M&T Bank Corporation,100253,NY,,335.2,,0.24,146.33,,,,,,,,,,,,,323879,14920900,310811,20138045,14812959,13006,278727,27905,0,306632,3985,13006,13200,,,,,,,,,,,,,,,,43.299428,-74.217933
103042-1998Q2,Non-Peer,Non-Peer,Morgan Stanley,103042,1998Q2,Morgan Stanley,103042,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.299428,-74.217933
100406-1998Q2,Peer,Peer,PNC,PNC,1998Q2,"The PNC Financial Services Group, Inc.",100406,PA,,258.7,,0.61,39.38,,,,,,,,,,,,,2954401,56254562,858761,75918425,47103403,106738,911808,0,841,912649,17850,106738,35000,,,,,,,,,,,,,,,,41.203322,-77.194525
100233-1998Q2,Peer,Close-Peer,REGIONS,RF,1998Q2,Regions Financial Corporation,100233,AL,,141.52,,0.26,114.21,,,,,,,,,,,,,691994,18564013,226451,26849179,20375826,19314,221998,2693,0,224691,6925,19314,14149,,,,,,,,,,,,,,,,32.318231,-86.902298
100447-1998Q2,Non-Peer,Non-Peer,State Street,100447,1998Q2,State Street Corporation,100447,MA,,856.66,,-0.03,-843.31,,,,,,,,,,,,,0,6624092,92999,46710831,29420999,691,88820,0,0,88820,1162,687,3972,,,,,,,,,,,,,,,,42.407211,-71.382437
4047176-1998Q2,Peer,Peer,USB,USB,1998Q2,U.S. Bancorp,4047176,MN,,323.03,,0.77,87.16,,,,,,,,,,,,,893000,54885000,982000,73750000,49307000,139000,996000,0,-300,995700,32300,139000,93000,,,,,,,,,,,,,,,,46.729553,-94.6859
100382-1998Q2,Mega-Bank,Mega-Bank,Wells Fargo,100382,1998Q2,Wells Fargo & Company,100382,CA,,476.62,,0.97,99.86,,,,,,,,,,,,,15660800,43309100,1262100,93153300,56795200,177300,1236300,26000,0,1262300,37700,177300,139400,,,,,,,,,,,,,,,,36.778261,-119.417932
100501-1998Q2,Non-Peer,Peer,Zions,100501,1998Q2,"Zions Bancorporation, National Association",100501,UT,1.54,685.86,33.93,0.22,,NM,,0.58,0.27,0.27,1.54,,,0.01,6.59,0.19,0.22,198180,2786151,45836,6446053,3969893,2261,,,,,715,,1500,,,,,,,,,,,,,,,,39.32098,-111.093731
100369-1998Q2,Mega-Bank,Mega-Bank,Bank of America,100369,1998Q2,Bank of America Corporation,100369,NC,,201.57,,0.61,96.09,,,,,,,,,,,,,4035000,180897000,3215000,307985000,169238000,337119,3245313,49,-19127,3226235,61339,337119,265000,,,,,,,,,,,,,,,,35.759573,-79.0193
100438-1998Q3,Peer,Peer,BB&T / Truist Financial Corporation,TFC,1998Q3,Truist Financial Corporation,100438,NC,,297.91,,0.3,128.49,,,,,,,,,,,,,715140,22473078,313769,33875788,22097655,21906,289310,19734,0,309044,5321,21906,21310,,,,,,,,,,,,,,,,35.759573,-79.0193
100144-1998Q3,Non-Peer,Non-Peer,BNY Mellon,100144,1998Q3,The Bank of New York Mellon Corporation,100144,NY,,327.63,,0.13,39.65,,,,,,,,,,,,,0,38506159,638405,63811981,44492162,22863,645938,0,0,645938,10254,22863,5000,,,,,,,,,,,,,,,,43.299428,-74.217933
103239-1998Q3,Non-Peer,Non-Peer,Capital One,103239,1998Q3,Capital One Financial Corporation,103239,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.431573,-78.656894
4041896-1998Q3,Mega-Bank,Mega-Bank,Citigroup,4041896,1998Q3,Citigroup Inc.,4041896,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.299428,-74.217933
1019881-1998Q3,Peer,Peer,CITIZENS,1019881,1998Q3,"Citizens Financial Group, Inc.",1019881,RI,,296.18,,0.19,119.67,,,,,,,,,,,,,71253,9726291,181236,17313983,13777503,7981,198633,0,-18297,180336,3405,7981,5476,,,,,,,,,,,,,,,,41.580095,-71.477429
100206-1998Q3,Peer,Peer,COMERICA,100206,1998Q3,Comerica Incorporated,100206,TX,,364.16,,0.3,100.26,,,,,,,,,,,,,47612,28462272,438929,34487015,22283412,29251,438875,0,0,438875,8305,29251,21000,,,,,,,,,,,,,,,,31.968599,-99.901813
100260-1998Q3,Peer,Close-Peer,FIFTH THIRD,FITB,1998Q3,Fifth Third Bancorp,100260,OH,,437.77,,0.53,64.12,,,,,,,,,,,,,367355,17438071,261580,28332820,18639486,29981,270129,-26,0,270103,6224,29981,15234,,,,,,,,,,,,,,,,40.417287,-82.907123
4039450-1998Q3,Non-Peer,Non-Peer,Goldman Sachs,4039450,1998Q3,"The Goldman Sachs Group, Inc.",4039450,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.299428,-74.217933
100307-1998Q3,Peer,Close-Peer,Huntington,100307,1998Q3,Huntington Bancshares Incorporated,100307,OH,,270.39,,0.52,97.02,,,,,,,,,,,,,300076,19127740,286122,27355096,19246735,33095,286864,0,0,286864,8193,33095,24160,,,,,,,,,,,,,,,,40.417287,-82.907123
100201-1998Q3,Mega-Bank,Mega-Bank,JP Morgan Chase,100201,1998Q3,JPMorgan Chase & Co.,100201,NY,,158.17,,0.84,131.12,,,,,,,,,,,,,8355000,158217000,3554000,356450000,200319000,466000,3874000,0,0,3874000,119000,574000,455000,,,,,,,,,,,,,,,,43.299428,-74.217933
100334-1998Q3,Peer,Close-Peer,KEY,KEY,1998Q3,KeyCorp,100334,OH,,193.55,,0.49,99.67,,,,,,,,,,,,,3310273,56133754,899860,77798854,42676153,91175,900140,0,-42,900098,19437,91175,71499,,,,,,,,,,,,,,,,40.417287,-82.907123
100253-1998Q3,Peer,Close-Peer,M&T BANK,MTB,1998Q3,M&T Bank Corporation,100253,NY,,357.14,,0.31,89.16,,,,,,,,,,,,,330569,14832755,309535,19478400,14394401,15796,310811,0,0,310811,4020,15796,10500,,,,,,,,,,,,,,,,43.299428,-74.217933
103042-1998Q3,Non-Peer,Non-Peer,Morgan Stanley,103042,1998Q3,Morgan Stanley,103042,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.299428,-74.217933
100406-1998Q3,Peer,Peer,PNC,PNC,1998Q3,"The PNC Financial Services Group, Inc.",100406,PA,,239.45,,0.59,51.2,,,,,,,,,,,,,3833701,56767272,815866,76253071,46880956,107316,858761,0,0,858761,19421,107316,45000,,,,,,,,,,,,,,,,41.203322,-77.194525
100233-1998Q3,Peer,Close-Peer,REGIONS,RF,1998Q3,Regions Financial Corporation,100233,AL,,162.39,,0.37,84.37,,,,,,,,,,,,,730421,23945263,325238,35902996,27294641,31977,226451,102286,0,328737,9590,31977,18887,,,,,,,,,,,,,,,,32.318231,-86.902298
100447-1998Q3,Non-Peer,Non-Peer,State Street,100447,1998Q3,State Street Corporation,100447,MA,,559.09,,0.76,28.27,,,,,,,,,,,,,0,7448221,82851,50607194,27914716,14855,92999,0,0,92999,708,14859,4000,,,,,,,,,,,,,,,,42.407211,-71.382437
