Unique_ID,BANK_TYPE,COMPARISON_TYPE,BANK_NAME_ABBR,SNL_INSTITUTE_ID,YEAR_QUARTER,REG_COMPANY_NAME,REG_SNL_INSTN_KEY,REG_STATE,REG_LLR_TO_GROSS_LOAN,REG_RESV_TO_NPA,HIGH_RISK_RE_LOAN_TO_DOM_LOAN,REG_NCO_TO_AVG_LOAN,REG_LLP_TO_NCO,RESV_TO_ADJ_NPL,PD_NACCR_RESTRUCT_FRCLSD_TO_LOAN_FRCLSD,TOTAL_NCL_TO_LOAN,TOTAL_NCL_TO_ASSETS,TOTAL_NONCURRENT_ASSETS_TO_ASSETS,REG_LLR_TO_GROSS_LOAN,NCO_TO_AVG_LOAN_CU,NET_CREDIT_CARD_CHRG_OFF_TO_AVG_CREDIT_CARD_LOAN,OREO_TO_ASSETS_AQ,REG_EQUITY_RESV_TO_ASSETS,REG_NPL_TO_LOAN,NPA_TO_LOAN,LOAN_LEASES_HFS,TOTAL_LOAN_LEASES_EXCL_HFS,TOTAL_RESV,REG_TOTAL_ASSETS,TOTAL_DEP_INCL_DOM_FRGN,TOTAL_LOAN_LEASES_CHRG_OFF,LLR_LOAN_LOSS_RES_BEGIN_PERIOD,LLR_CHANGES_MERGERS,LLR_OTHER_ADJ,LLR_BAL_AT_END_PREV_YR,TOTAL_LOAN_LEASES_RECOV,LLR_TOTAL_CHRG_OFF_BHC,PROV_FOR_LOAN_LEASE_LOSS,LN_AND_LS_HFI_AMORT_COST_RE_CONST_LOAN,LN_AND_LS_HFI_AMORT_COST_COM_RE_LOAN,LN_AND_LS_HFI_AMORT_COST_RES_RE_LOAN,LN_AND_LS_HFI_AMORT_COST_COM_LOAN,LN_AND_LS_HFI_AMORT_COST_CREDIT_CARD,LN_AND_LS_HFI_AMORT_COST_OTHER_CONSUMER_LOAN,LN_AND_LS_HFI_AMORT_COST_TOTAL,LN_AND_LS_HFI_ALLOWANCE_RE_CONST_LOAN,LN_AND_LS_HFI_ALLOWANCE_COM_RE_LOAN,LN_AND_LS_HFI_ALLOWANCE_RES_RE_LOAN,LN_AND_LS_HFI_ALLOWANCE_COM_LOAN,LN_AND_LS_HFI_ALLOWANCE_CREDIT_CARD,LN_AND_LS_HFI_ALLOWANCE_OTHER_CONSUMER_LOAN,LN_AND_LS_HFI_ALLOWANCE_UNALLOCATED,LN_AND_LS_HFI_ALLOWANCE_TOTAL,latitude,longitude
103239-2017Q4,Non-Peer,Non-Peer,Capital One,103239,2017Q4,Capital One Financial Corporation,103239,VA,2.94,273.24,11.96,2.88,105.63,277.26,2.04,1.42,0.99,0.99,2.94,2.87,,0.01,15.38,1.06,1.07,970937,254472261,7501665,365692669,243714322,2310309,,,,7418019,482605,2221533,1930574,,,,,,,,,,,,,,,,37.431573,-78.656894
4041896-2017Q4,Mega-Bank,Mega-Bank,Citigroup,4041896,2017Q4,Citigroup Inc.,4041896,NY,1.8,135.12,4.92,1.15,104.56,139.2,1.75,1.12,0.42,0.42,1.8,1.14,,0.01,11.57,1.3,1.33,7446000,680689000,12355000,1842465000,959893000,2327000,,,,12366000,399000,2274000,2016000,,,,,,,,,,,,,,,,43.299428,-74.217933
1019881-2017Q4,Peer,Peer,CITIZENS,1019881,2017Q4,"Citizens Financial Group, Inc.",1019881,RI,1.11,81.88,13.77,0.28,116.13,85.67,1.38,0.81,0.59,0.59,1.11,0.28,,0.02,14.08,1.33,1.36,546682,110633491,1236100,152709681,115422502,130736,,,,1223546,52894,130736,90396,,,,,,,,,,,,,,,,41.580095,-71.477429
100206-2017Q4,Peer,Peer,COMERICA,100206,2017Q4,Comerica Incorporated,100206,TX,1.45,133.36,24.17,0.13,99.74,136.91,1.16,0.89,0.61,0.61,1.45,0.13,,0.01,12.1,1.07,1.09,3698,49172090,711761,71691612,58030800,29781,,,,711811,13644,29781,16095,,,,,,,,,,,,,,,,31.968599,-99.901813
100260-2017Q4,Peer,Close-Peer,FIFTH THIRD,FITB,2017Q4,Fifth Third Bancorp,100260,OH,1.29,80.67,11.81,0.33,88.35,83.93,2.01,0.9,0.58,0.58,1.29,0.33,,0.03,12.35,1.54,1.6,492149,91970068,1195797,142193410,103594847,94309,,,,1204714,18092,94156,67334,,,,,,,,,,,,,,,,40.417287,-82.907123
4039450-2017Q4,Non-Peer,Non-Peer,Goldman Sachs,4039450,2017Q4,"The Goldman Sachs Group, Inc.",4039450,NY,0.67,21.55,7.28,0.67,134.38,29.55,5.92,5.14,0.67,0.67,0.67,0.67,,0.11,9.06,2.28,3.13,7751000,111599000,804000,916787000,138355000,192000,,,,738000,0,140000,258000,,,,,,,,,,,,,,,,43.299428,-74.217933
100307-2017Q4,Peer,Close-Peer,Huntington,100307,2017Q4,Huntington Bancshares Incorporated,100307,OH,0.98,57.39,15.38,0.24,137.26,60.6,1.83,0.64,0.43,0.44,0.98,0.23,,0.03,11.04,1.64,1.7,487814,70116551,690745,104184505,77177919,60766,,,,675487,19821,60766,56203,,,,,,,,,,,,,,,,40.417287,-82.907123
100201-2017Q4,Mega-Bank,Mega-Bank,JP Morgan Chase,100201,2017Q4,JPMorgan Chase & Co.,100201,NY,1.42,80.1,13.24,0.54,106.72,101.83,2.24,1.43,0.54,0.6,1.42,0.54,,0.02,10.63,1.57,1.78,3351000,953478000,13604000,2533600000,1443982000,1535000,,,,13539000,271000,1535000,1349000,,,,,,,,,,,,,,,,43.299428,-74.217933
100334-2017Q4,Peer,Close-Peer,KEY,KEY,2017Q4,KeyCorp,100334,OH,1,118.88,19.1,0.25,87.65,127.05,0.96,0.76,0.49,0.49,1,0.25,,0.03,11.53,0.79,0.85,1106968,87802950,893473,138064055,105259979,77515,,,,898218,22085,77515,48584,,,,,,,,,,,,,,,,40.417287,-82.907123
100253-2017Q4,Peer,Close-Peer,M&T BANK,MTB,2017Q4,M&T Bank Corporation,100253,NY,1.16,83.76,37.91,0.12,114.27,96.65,1.98,1.62,1.2,1.21,1.16,0.12,,0.09,14.56,1.24,1.38,378047,87610936,1017198,118593487,92432146,53300,,,,1013326,26172,53300,31000,,,,,,,,,,,,,,,,43.299428,-74.217933
